epoch,train_loss,train_err,test_err
0,0.3311915695667267,0.17888333333333334,0.1846
1,0.2434685379266739,0.183,0.1596
2,0.16804160177707672,0.12786666666666666,0.1424
3,0.32320815324783325,0.09821666666666666,0.1066
4,0.20532242953777313,0.09335,0.1081
5,0.2285163551568985,0.09251666666666666,0.1168
6,0.18607616424560547,0.08918333333333334,0.1085
7,0.16992604732513428,0.09001666666666666,0.1025
8,0.10416219383478165,0.07746666666666667,0.0897
9,0.1314154416322708,0.07968333333333333,0.0883
10,0.20671838521957397,0.08593333333333333,0.0994
11,0.2802414000034332,0.06983333333333333,0.0815
12,0.1395971029996872,0.08346666666666666,0.0976
13,0.28511402010917664,0.06488333333333333,0.0827
14,0.20425157248973846,0.06558333333333333,0.0772
15,0.17051060497760773,0.07708333333333334,0.0884
16,0.058608829975128174,0.06415,0.08
17,0.1746654063463211,0.06386666666666667,0.0743
18,0.25710535049438477,0.08193333333333333,0.085
19,0.2710256576538086,0.05603333333333333,0.0787
20,0.158380389213562,0.0667,0.0843
21,0.11085773259401321,0.07423333333333333,0.0976
22,0.22157420217990875,0.058616666666666664,0.0721
23,0.16119889914989471,0.05385,0.074
24,0.06060376763343811,0.059816666666666664,0.0758
25,0.09709171205759048,0.06853333333333333,0.0836
26,0.07538745552301407,0.06113333333333333,0.0842
27,0.10101190209388733,0.06113333333333333,0.0795
28,0.2226243019104004,0.060283333333333335,0.0791
29,0.10423608869314194,0.051,0.0716
30,0.2038627415895462,0.0529,0.0764
31,0.12899188697338104,0.058616666666666664,0.0802
32,0.09981030225753784,0.1175,0.1185
33,0.09243424981832504,0.05333333333333334,0.076
34,0.161574587225914,0.06625,0.0807
35,0.08502700924873352,0.07878333333333333,0.0894
36,0.18773168325424194,0.05665,0.0749
37,0.13105691969394684,0.08441666666666667,0.0935
38,0.11061888188123703,0.07728333333333333,0.0908
39,0.06190487742424011,0.08043333333333333,0.0844
40,0.18921560049057007,0.05001666666666667,0.0744
41,0.10833394527435303,0.0556,0.077
42,0.25977829098701477,0.0445,0.065
43,0.26746973395347595,0.057133333333333335,0.0787
44,0.10617420077323914,0.06371666666666667,0.0846
45,0.20840692520141602,0.059033333333333333,0.0827
46,0.16596056520938873,0.053283333333333335,0.0787
47,0.21205900609493256,0.06188333333333333,0.0794
48,0.08408524841070175,0.07276666666666666,0.0843
49,0.16287223994731903,0.05395,0.0752
