epoch,train_loss,train_err,test_err
0,1.945578932762146,0.75244,0.7442
1,1.4915962219238281,0.54944,0.54
2,1.3469253778457642,0.43464,0.4288
3,0.7787753343582153,0.34612,0.3436
4,0.6882048845291138,0.34316,0.3384
5,0.6739909648895264,0.308,0.302
6,0.604636013507843,0.25812,0.2697
7,0.5544284582138062,0.24276,0.2488
8,0.5597708225250244,0.24628,0.2693
9,0.5982316732406616,0.24476,0.2611
10,0.7522207498550415,0.22516,0.2451
11,0.3381536304950714,0.18336,0.2066
12,0.5845340490341187,0.18346,0.2018
13,0.3724645972251892,0.20276,0.2261
14,0.7039943933486938,0.21788,0.2369
15,0.352036714553833,0.176,0.1948
16,0.43855810165405273,0.22646,0.2574
17,0.35100463032722473,0.15832,0.1859
18,0.43812984228134155,0.1394,0.1662
19,0.4109824299812317,0.17242,0.1985
20,0.31564080715179443,0.1853,0.2194
21,0.3517283797264099,0.17352,0.1929
22,0.26275765895843506,0.1687,0.1932
23,0.3677944839000702,0.15292,0.1851
24,0.4360716938972473,0.1329,0.1686
25,0.3233277201652527,0.216,0.244
26,0.4684126377105713,0.15294,0.19
27,0.4435036778450012,0.13612,0.1688
28,0.5096151828765869,0.13072,0.1662
29,0.36660856008529663,0.13228,0.1649
30,0.33995622396469116,0.12842,0.1653
31,0.34287625551223755,0.13774,0.1785
32,0.365281343460083,0.12832,0.1718
33,0.3382132649421692,0.1238,0.1616
34,0.3033222556114197,0.12066,0.1577
35,0.2568661570549011,0.1295,0.1602
36,0.1741192638874054,0.15596,0.192
37,0.46815523505210876,0.1245,0.1769
38,0.3823167681694031,0.16288,0.2018
39,0.3911094069480896,0.12722,0.1727
40,0.24871022999286652,0.11514,0.1549
41,0.17089399695396423,0.1175,0.1602
42,0.3759753108024597,0.18214,0.2209
43,0.4810754358768463,0.11056,0.1578
44,0.2718045115470886,0.11304,0.153
45,0.26939672231674194,0.1135,0.1608
46,0.30089646577835083,0.09714,0.1432
47,0.3439863324165344,0.12826,0.1726
48,0.2743959128856659,0.09848,0.14
49,0.301873117685318,0.09546,0.14
50,0.2659382224082947,0.17372,0.2094
51,0.2749234437942505,0.10486,0.1476
52,0.26818811893463135,0.13028,0.1721
53,0.23383501172065735,0.10508,0.1557
54,0.30544131994247437,0.15956,0.2131
55,0.38230451941490173,0.10778,0.157
56,0.20980362594127655,0.1143,0.1638
57,0.2915657162666321,0.116,0.1649
58,0.5598269701004028,0.11686,0.1623
59,0.3241209387779236,0.09522,0.1407
60,0.2506140470504761,0.1247,0.1704
61,0.19545257091522217,0.10614,0.1587
62,0.3689563274383545,0.10386,0.1569
63,0.3655739426612854,0.13518,0.1803
64,0.35928934812545776,0.11468,0.1699
65,0.23051686584949493,0.1148,0.1663
66,0.2060592919588089,0.12174,0.1664
67,0.3954828083515167,0.09084,0.1449
68,0.28741076588630676,0.0921,0.1434
69,0.29903268814086914,0.10346,0.1548
70,0.200120210647583,0.1603,0.2022
71,0.1880093216896057,0.0908,0.1441
72,0.23663051426410675,0.1164,0.1671
73,0.18189319968223572,0.10012,0.1552
74,0.1996300369501114,0.10892,0.1586
75,0.3254076838493347,0.09338,0.1461
76,0.08860807120800018,0.12284,0.174
77,0.1683109849691391,0.11472,0.1659
78,0.21915969252586365,0.0884,0.1385
79,0.14632649719715118,0.106,0.1622
80,0.46325594186782837,0.0867,0.1357
81,0.3426859974861145,0.10698,0.1627
82,0.13644114136695862,0.03502,0.1006
83,0.043428730219602585,0.03036,0.0997
84,0.11017744243144989,0.02874,0.0999
85,0.06836892664432526,0.02694,0.0992
86,0.12440403550863266,0.02366,0.0969
87,0.06089456006884575,0.02232,0.0993
88,0.08106286078691483,0.01978,0.0977
89,0.14071431756019592,0.02036,0.0974
90,0.0792788416147232,0.0184,0.0965
91,0.06814803183078766,0.01852,0.0968
92,0.13219337165355682,0.01718,0.0964
93,0.06553975492715836,0.0165,0.0974
94,0.050440799444913864,0.01414,0.0978
95,0.06856942921876907,0.01506,0.098
96,0.06856399029493332,0.01426,0.0965
97,0.046591393649578094,0.01388,0.0964
98,0.03747444227337837,0.01318,0.0966
99,0.0842876136302948,0.01142,0.0936
