epoch,train_loss,train_err,test_err
0,1.945578932762146,0.75244,0.7442
1,1.4915962219238281,0.54944,0.54
2,1.3469253778457642,0.43464,0.4288
3,0.7787753343582153,0.34612,0.3436
4,0.6882048845291138,0.34316,0.3384
5,0.6739909648895264,0.308,0.302
6,0.604636013507843,0.25812,0.2697
7,0.5544284582138062,0.24276,0.2488
8,0.5597708225250244,0.24628,0.2693
9,0.5982316732406616,0.24476,0.2611
10,0.7522207498550415,0.22516,0.2451
11,0.3381536304950714,0.18336,0.2066
12,0.5845340490341187,0.18346,0.2018
13,0.3724645972251892,0.20276,0.2261
14,0.7039943933486938,0.21788,0.2369
15,0.352036714553833,0.176,0.1948
16,0.43855810165405273,0.22646,0.2574
17,0.35100463032722473,0.15832,0.1859
18,0.43812984228134155,0.1394,0.1662
19,0.4109824299812317,0.17242,0.1985
20,0.31564080715179443,0.1853,0.2194
21,0.3517283797264099,0.17352,0.1929
22,0.26275765895843506,0.1687,0.1932
23,0.3677944839000702,0.15292,0.1851
24,0.4360716938972473,0.1329,0.1686
25,0.3233277201652527,0.216,0.244
26,0.4684126377105713,0.15294,0.19
27,0.4435036778450012,0.13612,0.1688
28,0.5096151828765869,0.13072,0.1662
29,0.36660856008529663,0.13228,0.1649
30,0.33995622396469116,0.12842,0.1653
31,0.34287625551223755,0.13774,0.1785
32,0.365281343460083,0.12832,0.1718
33,0.3382132649421692,0.1238,0.1616
34,0.3033222556114197,0.12066,0.1577
35,0.2568661570549011,0.1295,0.1602
36,0.1741192638874054,0.15596,0.192
37,0.46815523505210876,0.1245,0.1769
38,0.3823167681694031,0.16288,0.2018
39,0.3911094069480896,0.12722,0.1727
40,0.24871022999286652,0.11514,0.1549
41,0.17089399695396423,0.1175,0.1602
42,0.3759753108024597,0.18214,0.2209
43,0.4810754358768463,0.11056,0.1578
44,0.2718045115470886,0.11304,0.153
45,0.26939672231674194,0.1135,0.1608
46,0.30089646577835083,0.09714,0.1432
47,0.3439863324165344,0.12826,0.1726
48,0.2743959128856659,0.09848,0.14
49,0.301873117685318,0.09546,0.14
