epoch,train_loss,train_err,test_err
0,0.5510838627815247,0.2568166666666667,0.2643
1,0.3534306287765503,0.1478,0.1593
2,0.2973092496395111,0.17815,0.193
3,0.33323419094085693,0.12738333333333332,0.1368
4,0.14014603197574615,0.10006666666666666,0.1175
5,0.2460888773202896,0.11213333333333333,0.1189
6,0.2248191386461258,0.0984,0.1037
7,0.2200499325990677,0.1167,0.1201
8,0.2613963186740875,0.08598333333333333,0.1077
9,0.20466095209121704,0.09323333333333333,0.1036
10,0.14602221548557281,0.1034,0.117
11,0.14905159175395966,0.08698333333333333,0.0927
12,0.10645797103643417,0.07623333333333333,0.0944
13,0.39631983637809753,0.07931666666666666,0.0941
14,0.24620024859905243,0.09346666666666667,0.0942
15,0.26586875319480896,0.07855,0.1002
16,0.2539841830730438,0.09786666666666667,0.112
17,0.18341530859470367,0.07743333333333334,0.0946
18,0.20440857112407684,0.08863333333333333,0.1056
19,0.23382538557052612,0.07146666666666666,0.0904
20,0.17045189440250397,0.06756666666666666,0.0816
21,0.10152795165777206,0.06746666666666666,0.0896
22,0.23184369504451752,0.06751666666666667,0.0883
23,0.3342776596546173,0.07265,0.0845
24,0.16252131760120392,0.061983333333333335,0.0797
25,0.2426580786705017,0.08555,0.0834
26,0.25377821922302246,0.06606666666666666,0.0844
27,0.2881200611591339,0.08555,0.0988
28,0.09959439188241959,0.09948333333333333,0.1235
29,0.2848348915576935,0.0665,0.0795
30,0.13902896642684937,0.07296666666666667,0.0886
31,0.20813524723052979,0.08851666666666666,0.1047
32,0.13908657431602478,0.07151666666666667,0.088
33,0.10887757688760757,0.20276666666666668,0.2189
34,0.13103635609149933,0.06593333333333333,0.0896
35,0.10025575757026672,0.05926666666666667,0.0793
36,0.20337150990962982,0.06398333333333334,0.0804
37,0.15688084065914154,0.07191666666666667,0.0842
38,0.0988466665148735,0.07373333333333333,0.0862
39,0.1512022167444229,0.08258333333333333,0.0924
40,0.08908984810113907,0.05715,0.076
41,0.1528312712907791,0.0563,0.0771
42,0.15662303566932678,0.05893333333333333,0.0825
43,0.12022551149129868,0.07588333333333333,0.0967
44,0.13510726392269135,0.05988333333333333,0.0758
45,0.12824547290802002,0.06383333333333334,0.0801
46,0.15184824168682098,0.05361666666666667,0.0751
47,0.1689397543668747,0.058633333333333336,0.0745
48,0.08733464032411575,0.05948333333333333,0.0756
49,0.14196933805942535,0.05361666666666667,0.0757
50,0.06584133207798004,0.06758333333333333,0.097
51,0.2302808314561844,0.06158333333333333,0.0786
52,0.22378532588481903,0.05761666666666666,0.0824
53,0.0931691899895668,0.0588,0.0788
54,0.2107013314962387,0.06571666666666667,0.086
55,0.29625222086906433,0.05511666666666667,0.0755
56,0.09663952142000198,0.0734,0.093
57,0.15343916416168213,0.0636,0.0823
58,0.12085023522377014,0.06261666666666667,0.0849
59,0.2316354364156723,0.06781666666666666,0.0895
60,0.1370774507522583,0.05683333333333333,0.0835
61,0.16370418667793274,0.060366666666666666,0.088
62,0.10391023755073547,0.04625,0.0708
63,0.12355911731719971,0.06136666666666667,0.0875
64,0.1632343828678131,0.05458333333333333,0.0743
65,0.2459058165550232,0.05991666666666667,0.0924
66,0.15191933512687683,0.062483333333333335,0.082
67,0.15659917891025543,0.052,0.0702
68,0.06341845542192459,0.0734,0.0885
69,0.08819962292909622,0.06673333333333334,0.0879
70,0.14794789254665375,0.056916666666666664,0.0795
71,0.1862747073173523,0.05876666666666667,0.0839
72,0.07096848636865616,0.043133333333333336,0.0657
73,0.14175604283809662,0.06,0.0844
74,0.13525010645389557,0.051583333333333335,0.073
75,0.1844605654478073,0.06588333333333334,0.08
76,0.1560417264699936,0.054,0.0782
77,0.17025631666183472,0.08275,0.0893
78,0.1706751435995102,0.055,0.0771
79,0.16830529272556305,0.0628,0.0896
80,0.2518841326236725,0.056433333333333335,0.0738
81,0.0680914893746376,0.05196666666666667,0.0718
82,0.050197552889585495,0.026716666666666666,0.0578
83,0.07964230328798294,0.024166666666666666,0.0577
84,0.11987462639808655,0.022466666666666666,0.0581
85,0.05244971811771393,0.020166666666666666,0.0569
86,0.08722418546676636,0.02025,0.0578
87,0.11032118648290634,0.01885,0.0581
88,0.03906426206231117,0.01745,0.0569
89,0.05762121081352234,0.0175,0.0565
90,0.056877341121435165,0.015766666666666665,0.0566
91,0.026685507968068123,0.014766666666666668,0.0572
92,0.039346762001514435,0.0143,0.0582
93,0.10364460200071335,0.0136,0.0564
94,0.07470542192459106,0.0128,0.0546
95,0.03919181600213051,0.012733333333333333,0.0552
96,0.03991897404193878,0.011683333333333334,0.0561
97,0.07685922086238861,0.01185,0.0602
98,0.0432623028755188,0.01165,0.0584
99,0.02700604498386383,0.010333333333333333,0.0569
