epoch,train_loss,train_err,test_err
0,0.4341384470462799,0.15446666666666667,0.1674
1,0.2707507312297821,0.13835,0.1509
2,0.2132856845855713,0.16166666666666665,0.1501
3,0.22028876841068268,0.11573333333333333,0.1208
4,0.23247241973876953,0.08205,0.0986
5,0.3160528838634491,0.09206666666666667,0.0955
6,0.10798081010580063,0.08078333333333333,0.0874
7,0.19213567674160004,0.07305,0.0822
8,0.22986048460006714,0.12175,0.1217
9,0.10940773040056229,0.10053333333333334,0.1092
10,0.21572108566761017,0.08556666666666667,0.086
11,0.1957988291978836,0.08796666666666667,0.0891
12,0.12065067142248154,0.073,0.0772
13,0.10019165277481079,0.06716666666666667,0.074
14,0.215626060962677,0.08628333333333334,0.1008
15,0.19903452694416046,0.06955,0.085
16,0.09420722723007202,0.07093333333333333,0.0798
17,0.2559514343738556,0.06818333333333333,0.0859
18,0.24979102611541748,0.09436666666666667,0.0909
19,0.20839263498783112,0.07795,0.0892
20,0.15946106612682343,0.09095,0.0962
21,0.23110871016979218,0.06831666666666666,0.0754
22,0.1260826140642166,0.09153333333333333,0.1004
23,0.18895862996578217,0.07621666666666667,0.1007
24,0.0980861708521843,0.06191666666666667,0.0778
25,0.1643412560224533,0.06831666666666666,0.085
26,0.11092989891767502,0.07576666666666666,0.0945
27,0.1629244089126587,0.06718333333333333,0.0826
28,0.07411455363035202,0.05976666666666667,0.0777
29,0.18206526339054108,0.06366666666666666,0.0746
30,0.16195692121982574,0.07078333333333334,0.0884
31,0.11304933577775955,0.0624,0.0783
32,0.10859023779630661,0.056883333333333334,0.0737
33,0.12729959189891815,0.08128333333333333,0.0891
34,0.12655387818813324,0.06093333333333333,0.0799
35,0.1888488531112671,0.0639,0.0821
36,0.09135089069604874,0.05795,0.078
37,0.12738369405269623,0.0556,0.0723
38,0.13899080455303192,0.07576666666666666,0.0849
39,0.19546060264110565,0.060333333333333336,0.0826
40,0.14572633802890778,0.05361666666666667,0.0713
41,0.16582737863063812,0.052566666666666664,0.0699
42,0.17189548909664154,0.40318333333333334,0.2369
43,0.1048835888504982,0.048666666666666664,0.0685
44,0.12284242361783981,0.0622,0.0814
45,0.26333722472190857,0.04808333333333333,0.0664
46,0.2561108469963074,0.0705,0.0901
47,0.10320428013801575,0.10545,0.1068
48,0.15979239344596863,0.07236666666666666,0.0851
49,0.1948387622833252,0.06015,0.0784
