epoch,train_loss,train_err,test_err
0,0.4341384470462799,0.15446666666666667,0.1674
1,0.2707507312297821,0.13835,0.1509
2,0.2132856845855713,0.16166666666666665,0.1501
3,0.22028876841068268,0.11573333333333333,0.1208
4,0.23247241973876953,0.08205,0.0986
5,0.3160528838634491,0.09206666666666667,0.0955
6,0.10798081010580063,0.08078333333333333,0.0874
7,0.19213567674160004,0.07305,0.0822
8,0.22986048460006714,0.12175,0.1217
9,0.10940773040056229,0.10053333333333334,0.1092
10,0.21572108566761017,0.08556666666666667,0.086
11,0.1957988291978836,0.08796666666666667,0.0891
12,0.12065067142248154,0.073,0.0772
13,0.10019165277481079,0.06716666666666667,0.074
14,0.215626060962677,0.08628333333333334,0.1008
15,0.19903452694416046,0.06955,0.085
16,0.09420722723007202,0.07093333333333333,0.0798
17,0.2559514343738556,0.06818333333333333,0.0859
18,0.24979102611541748,0.09436666666666667,0.0909
19,0.20839263498783112,0.07795,0.0892
20,0.15946106612682343,0.09095,0.0962
21,0.23110871016979218,0.06831666666666666,0.0754
22,0.1260826140642166,0.09153333333333333,0.1004
23,0.18895862996578217,0.07621666666666667,0.1007
24,0.0980861708521843,0.06191666666666667,0.0778
25,0.1643412560224533,0.06831666666666666,0.085
26,0.11092989891767502,0.07576666666666666,0.0945
27,0.1629244089126587,0.06718333333333333,0.0826
28,0.07411455363035202,0.05976666666666667,0.0777
29,0.18206526339054108,0.06366666666666666,0.0746
30,0.16195692121982574,0.07078333333333334,0.0884
31,0.11304933577775955,0.0624,0.0783
32,0.10859023779630661,0.056883333333333334,0.0737
33,0.12729959189891815,0.08128333333333333,0.0891
34,0.12655387818813324,0.06093333333333333,0.0799
35,0.1888488531112671,0.0639,0.0821
36,0.09135089069604874,0.05795,0.078
37,0.12738369405269623,0.0556,0.0723
38,0.13899080455303192,0.07576666666666666,0.0849
39,0.19546060264110565,0.060333333333333336,0.0826
40,0.14572633802890778,0.05361666666666667,0.0713
41,0.16582737863063812,0.052566666666666664,0.0699
42,0.17189548909664154,0.40318333333333334,0.2369
43,0.1048835888504982,0.048666666666666664,0.0685
44,0.12284242361783981,0.0622,0.0814
45,0.26333722472190857,0.04808333333333333,0.0664
46,0.2561108469963074,0.0705,0.0901
47,0.10320428013801575,0.10545,0.1068
48,0.15979239344596863,0.07236666666666666,0.0851
49,0.1948387622833252,0.06015,0.0784
50,0.1412418931722641,0.048666666666666664,0.0672
51,0.09752417355775833,0.12348333333333333,0.1209
52,0.17387251555919647,0.06753333333333333,0.0852
53,0.08155588805675507,0.057716666666666666,0.0776
54,0.1214185431599617,0.06303333333333333,0.0794
55,0.16901321709156036,0.059083333333333335,0.0798
56,0.13464966416358948,0.05436666666666667,0.075
57,0.0535363107919693,0.052566666666666664,0.0701
58,0.08647418022155762,0.0565,0.0746
59,0.18649278581142426,0.05135,0.0679
60,0.10521333664655685,0.05563333333333333,0.0717
61,0.09916888922452927,0.0468,0.0666
62,0.17394746840000153,0.0546,0.0748
63,0.13705873489379883,0.053516666666666664,0.0751
64,0.0710095763206482,0.048933333333333336,0.0648
65,0.13706828653812408,0.04761666666666667,0.0691
66,0.12144509702920914,0.07036666666666666,0.092
67,0.1696399301290512,0.051916666666666667,0.0727
68,0.21827656030654907,0.043083333333333335,0.0654
69,0.11449571698904037,0.055683333333333335,0.0743
70,0.1311473250389099,0.054,0.0723
71,0.13818258047103882,0.0444,0.064
72,0.10231330245733261,0.057866666666666663,0.0787
73,0.17839430272579193,0.04998333333333333,0.0697
74,0.1102435514330864,0.07003333333333334,0.0842
75,0.07210152596235275,0.046933333333333334,0.0645
76,0.1531328707933426,0.0531,0.0708
77,0.1061190664768219,0.04065,0.0626
78,0.100501649081707,0.046533333333333336,0.0656
79,0.09650412946939468,0.051783333333333334,0.0721
80,0.11346625536680222,0.044833333333333336,0.0709
81,0.12411713600158691,0.06776666666666667,0.0857
82,0.05812805891036987,0.02555,0.0518
83,0.04259387031197548,0.023183333333333334,0.0517
84,0.03042706288397312,0.0222,0.0523
85,0.061323050409555435,0.02055,0.0527
86,0.0498092882335186,0.0195,0.0509
87,0.06704931706190109,0.0184,0.0516
88,0.150283545255661,0.01785,0.0541
89,0.07312492281198502,0.016866666666666665,0.0514
90,0.05891150236129761,0.016283333333333334,0.0512
91,0.08264590054750443,0.01575,0.0509
92,0.0237272921949625,0.0167,0.0522
93,0.01344260573387146,0.015016666666666666,0.0499
94,0.055584654211997986,0.015466666666666667,0.0517
95,0.022371681407094002,0.013483333333333333,0.0498
96,0.024593496695160866,0.013033333333333333,0.0516
97,0.034135397523641586,0.012416666666666666,0.0505
98,0.05212271213531494,0.011983333333333334,0.0502
99,0.022585241124033928,0.0119,0.0518
